[513, 1.2673872709274292]
[514, 1.110678791999817]
[515, 1.2290329933166504]
[516, 1.0490657091140747]
[517, 1.105385422706604]
[518, 1.2026896476745605]
[519, 1.070517897605896]
[520, 0.8496614694595337]
[521, 0.904650866985321]
[522, 1.1671593189239502]
[523, 0.8931485414505005]
[524, 0.9096981883049011]
[525, 1.2045811414718628]
[526, 1.2160446643829346]
[527, 1.1089109182357788]
[528, 0.8716781735420227]
[529, 1.0908797979354858]
[530, 0.9409641623497009]
[531, 1.0938228368759155]
[532, 0.8631688952445984]
[533, 1.1216156482696533]
[534, 1.1169854402542114]
[535, 1.4945093393325806]
[536, 1.1177877187728882]
[537, 0.9796440005302429]
[538, 1.2165826559066772]
[539, 1.0859129428863525]
[540, 1.3523825407028198]
[541, 1.0721396207809448]
[542, 1.2425596714019775]
[543, 1.2158886194229126]
[544, 0.8280731439590454]
[545, 1.3605942726135254]
[546, 1.53093683719635]
[547, 1.542755365371704]
[548, 1.2121676206588745]
[549, 1.159164547920227]
[550, 1.0723992586135864]
[551, 1.4319696426391602]
[552, 0.8840280771255493]
[553, 1.2083420753479004]
[554, 0.948859691619873]
[555, 1.252105474472046]
[556, 0.9289119839668274]
[557, 1.2596259117126465]
[558, 0.8701826930046082]
[559, 1.0940502882003784]
[560, 1.2325811386108398]
[561, 1.307580828666687]
[562, 1.237212061882019]
[563, 1.3391026258468628]
[564, 0.8555163741111755]
[565, 1.0870754718780518]
[566, 0.9118661880493164]
[567, 1.017136812210083]
[568, 1.6506198644638062]
[569, 0.8159336447715759]
[570, 1.3233753442764282]
[571, 1.2410814762115479]
[572, 1.0347126722335815]
[573, 1.405852198600769]
[574, 1.003311038017273]
[575, 1.4682682752609253]
[576, 1.231846809387207]
[577, 1.1410900354385376]
[578, 1.333307147026062]
[579, 1.082520842552185]
[580, 1.1990728378295898]
[581, 1.1433178186416626]
[582, 1.4134210348129272]
[583, 1.0546493530273438]
[584, 1.27532958984375]
[585, 0.9297617077827454]
[586, 1.2305840253829956]
[587, 1.18891179561615]
[588, 1.1187494993209839]
[589, 1.1278775930404663]
[590, 1.314247488975525]
[591, 1.272197961807251]
[592, 1.2512444257736206]
[593, 0.9647534489631653]
[594, 0.9701105356216431]
[595, 1.0546116828918457]
[596, 1.3560340404510498]
[597, 0.9697145819664001]
[598, 1.3858789205551147]
[599, 1.3036644458770752]
[600, 1.2662824392318726]
[601, 1.1277779340744019]
[602, 0.967424213886261]
[603, 0.9982768297195435]
[604, 1.2109183073043823]
[605, 1.3403338193893433]
[606, 1.1994926929473877]
[607, 1.3404693603515625]
[608, 1.1485170125961304]
[609, 1.106479525566101]
[610, 1.4370315074920654]
